Tabela 7.02 - ,"Execução orçamentária por Unidade, em 2016",,,,,,,,,,,,,,,,,,,,,,,,,
FOB                                               ,,"58.223.598,30",,,"1,6",,"21.528.548,64",,,"2,2",,"79.752.146,94",,,"1,7",,"1.426.736,61",,,"0,2",,"81.178.883,55",,,"1,5",
FORP                                              ,,"49.316.643,73",,,"1,3",,"12.011.312,20",,,"1,2",,"61.327.955,93",,,"1,3",,"610.890,15",,,"0,1",,"61.938.846,08",,,"1,2",
FSP                                               ,,"64.865.439,01",,,"1,8",,"28.956.229,57",,,"3,0",,"93.821.668,58",,,"2,0",,"1.043.895,63",,,"0,2",,"94.865.564,21",,,"1,8",
FZEA                                              ,,"42.622.056,43",,,"1,2",,"2.237.215,48",,,"0,2",,"44.859.271,91",,,"1,0",,"1.992.440,34",,,"0,3",,"46.851.712,25",,,"0,9",
IAG                                               ,,"38.248.699,01",,,"1,0",,"7.949.950,49",,,"0,8",,"46.198.649,50",,,"1,0",,"917.909,82",,,"0,2",,"47.116.559,32",,,"0,9",
IAU                                               ,,"13.616.768,68",,,"0,4",,"788.995,81",,,"0,1",,"14.405.764,49",,,"0,3",,"463.655,39",,,"0,1",,"14.869.419,88",,,"0,3",
IB                                                ,,"55.140.611,52",,,"1,5",,"22.019.144,07",,,"2,3",,"77.159.755,59",,,"1,6",,"1.356.627,97",,,"0,2",,"78.516.383,56",,,"1,5",
ICB                                               ,,"84.616.432,34",,,"2,3",,"37.865.076,22",,,"3,9",,"122.481.508,56",,,"2,6",,"2.338.958,90",,,"0,4",,"124.820.467,46",,,"2,4",
ICMC                                              ,,"48.402.812,36",,,"1,3",,"11.380.953,31",,,"1,2",,"59.783.765,67",,,"1,3",,"2.294.570,82",,,"0,4",,"62.078.336,49",,,"1,2",
IF                                                ,,"90.317.795,17",,,"2,4",,"31.005.864,83",,,"3,2",,"121.323.660,00",,,"2,6",,"3.197.636,64",,,"0,5",,"124.521.296,64",,,"2,4",
IFSC                                              ,,"49.104.829,83",,,"1,3",,"7.706.753,52",,,"0,8",,"56.811.583,35",,,"1,2",,"2.079.855,42",,,"0,3",,"58.891.438,77",,,"1,1",
Tabela 7.02 - ,"Execução orçamentária por Unidade, em 2016",,,,,,,,,,,,,,,,,,,,,,,,,
,,,Pessoal,,,,,,,,,,,,,,,,,,,,,,,
,,,Ativos,,,,,Inativos,,,,,Total,,,,,Outras Despesas,,,,,Total,,,
Unidade,,,,R$,,%,,,R$,,%,,,R$,,%,,,R$,,%,,,R$,,%
A - Ensino e Pesquisa                                       ,,,,,,,,,,,,,,,,,,,,,,,,,,
IGc                                               ,,"36.782.146,01",,,"1,0",,"14.472.760,44",,,"1,5",,"51.254.906,45",,,"1,1",,"1.376.073,32",,,"0,2",,"52.630.979,77",,,"1,0",
IME                                               ,,"66.462.634,62",,,"1,8",,"22.494.720,73",,,"2,3",,"88.957.355,35",,,"1,9",,"1.273.934,68",,,"0,2",,"90.231.290,03",,,"1,7",
IO                                                ,,"32.236.266,87",,,"0,9",,"10.688.398,60",,,"1,1",,"42.924.665,47",,,"0,9",,"2.260.764,87",,,"0,4",,"45.185.430,34",,,"0,8",
IP                                                ,,"42.813.937,70",,,"1,2",,"15.775.523,29",,,"1,6",,"58.589.460,99",,,"1,3",,"811.181,92",,,"0,1",,"59.400.642,91",,,"1,1",
IQ                                                ,,"62.642.667,09",,,"1,7",,"19.940.512,25",,,"2,0",,"82.583.179,34",,,"1,8",,"1.904.760,30",,,"0,3",,"84.487.939,64",,,"1,6",
IQSC                                              ,,"34.655.182,87",,,"0,9",,"4.499.135,76",,,"0,5",,"39.154.318,63",,,"0,8",,"670.108,85",,,"0,1",,"39.824.427,48",,,"0,8",
IRI                                               ,,"7.177.616,40",,,"0,2",,-,,,-,,"7.177.616,40",,,"0,2",,"705.662,65",,,"0,1",,"7.883.279,05",,,"0,2",
Subtotal,,"2.574.522.024,4",,,"69,64",,"873.486.160,69",,,"89,95",,"3.448.008.185,1",,,"73,86",,"78.809.313,16",,,"12,48",,"3.526.817.498,3",,,"66,55",
B - Centros e Institutos Especializados                     ,,,,,,,,,,,,,,,,,,,,,,,,,,
CEBIMar                                           ,,"6.587.004,43",,,"0,2",,"373.596,83",,,"0,0",,"6.960.601,26",,,"0,2",,"263.580,26",,,"0,0",,"7.224.181,52",,,"0,1",
CENA                                              ,,"29.634.816,75",,,"0,8",,"4.196.394,64",,,"0,4",,"33.831.211,39",,,"0,7",,"1.100.412,90",,,"0,2",,"34.931.624,29",,,"0,7",
IEA                                               ,,"6.706.244,55",,,"0,2",,"377.707,22",,,"0,0",,"7.083.951,77",,,"0,2",,"665.639,72",,,"0,1",,"7.749.591,49",,,"0,2",
IEB                                               ,,"11.941.504,35",,,"0,3",,"2.584.506,86",,,"0,3",,"14.526.011,21",,,"0,3",,"291.678,48",,,"0,0",,"14.817.689,69",,,"0,3",
IEE                                               ,,"33.570.809,91",,,"0,9",,"2.130.321,15",,,"0,2",,"35.701.131,06",,,"0,8",,"359.025,86",,,"0,1",,"36.060.156,92",,,"0,7",
IMT                                               ,,"13.198.347,10",,,"0,4",,"769.366,02",,,"0,1",,"13.967.713,12",,,"0,3",,"286.229,53",,,"0,0",,"14.253.942,65",,,"0,3",
Subtotal,,"101.638.727,09",,,"2,75",,"10.431.892,72",,,"1,07",,"112.070.619,81",,,"2,40",,"2.966.566,75",,,"0,47",,"115.037.186,56",,,"2,17",
C - Hospitais e Serviços Anexos                             ,,,,,,,,,,,,,,,,,,,,,,,,,,
HRAC                                              ,,"89.063.909,91",,,"2,4",,"627.193,07",,,"0,1",,"89.691.102,98",,,"1,9",,"1.803.487,37",,,"0,3",,"91.494.590,35",,,"1,7",
HU                                                ,,"256.031.111,72",,,"6,9",,"3.253.413,45",,,"0,3",,"259.284.525,17",,,"5,6",,"34.495.517,48",,,"5,5",,"293.780.042,65",,,"5,5",
SVOC                                              ,,"10.385.722,20",,,"0,3",,"2.639.041,45",,,"0,3",,"13.024.763,65",,,"0,3",,"139.986,23",,,"0,0",,"13.164.749,88",,,"0,2",
SVOI                                              ,,"2.980.683,52",,,"0,1",,-,,,-,,"2.980.683,52",,,"0,1",,"68.572,35",,,"0,0",,"3.049.255,87",,,"0,1",
Subtotal,,"358.461.427,35",,,"9,70",,"6.519.647,97",,,"0,67",,"364.981.075,32",,,"7,82",,"36.507.563,43",,,"5,78",,"401.488.638,75",,,"7,58",
D - Museus                                                  ,,,,,,,,,,,,,,,,,,,,,,,,,,
